,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
8034,Wait,complete,Value 8,2011-06-15 10:37:31+00:00,Wait,Value 8,Case2867,Variant 16,16,Fluxicon Disco
8035,Wait,complete,Value 9,2011-06-17 13:43:33+00:00,Wait,Value 9,Case2867,Variant 16,16,Fluxicon Disco
8036,Take in charge ticket,complete,Value 8,2011-06-28 13:19:42+00:00,Take in charge ticket,Value 8,Case2867,Variant 16,16,Fluxicon Disco
8037,Resolve ticket,complete,Value 13,2011-07-05 09:51:59+00:00,Resolve ticket,Value 13,Case2867,Variant 16,16,Fluxicon Disco
8038,Closed,complete,Value 5,2011-08-04 09:52:25+00:00,Closed,Value 5,Case2867,Variant 16,16,Fluxicon Disco
8039,Assign seriousness,complete,Value 8,2011-06-07 14:25:54+00:00,Assign seriousness,Value 8,Case4458,Variant 12,12,Fluxicon Disco
8040,Take in charge ticket,complete,Value 8,2011-06-07 14:26:14+00:00,Take in charge ticket,Value 8,Case4458,Variant 12,12,Fluxicon Disco
8041,Take in charge ticket,complete,Value 8,2011-06-07 14:41:58+00:00,Take in charge ticket,Value 8,Case4458,Variant 12,12,Fluxicon Disco
8042,Resolve ticket,complete,Value 10,2011-06-13 16:15:26+00:00,Resolve ticket,Value 10,Case4458,Variant 12,12,Fluxicon Disco
8043,Closed,complete,Value 5,2011-07-08 14:30:31+00:00,Closed,Value 5,Case4458,Variant 12,12,Fluxicon Disco
8044,Assign seriousness,complete,Value 8,2011-06-07 14:56:36+00:00,Assign seriousness,Value 8,Case2341,Variant 162,162,Fluxicon Disco
8045,Take in charge ticket,complete,Value 8,2011-06-07 14:57:07+00:00,Take in charge ticket,Value 8,Case2341,Variant 162,162,Fluxicon Disco
8046,Wait,complete,Value 9,2011-06-09 12:56:08+00:00,Wait,Value 9,Case2341,Variant 162,162,Fluxicon Disco
8047,Wait,complete,Value 2,2011-06-10 12:30:45+00:00,Wait,Value 2,Case2341,Variant 162,162,Fluxicon Disco
8048,Wait,complete,Value 2,2011-06-17 15:02:13+00:00,Wait,Value 2,Case2341,Variant 162,162,Fluxicon Disco
8049,Take in charge ticket,complete,Value 9,2011-07-07 09:18:24+00:00,Take in charge ticket,Value 9,Case2341,Variant 162,162,Fluxicon Disco
8050,Resolve ticket,complete,Value 9,2011-07-07 09:19:00+00:00,Resolve ticket,Value 9,Case2341,Variant 162,162,Fluxicon Disco
8051,Closed,complete,Value 5,2011-07-22 09:19:13+00:00,Closed,Value 5,Case2341,Variant 162,162,Fluxicon Disco
8052,Assign seriousness,complete,Value 8,2011-06-08 07:24:05+00:00,Assign seriousness,Value 8,Case2694,Variant 1,1,Fluxicon Disco
8053,Take in charge ticket,complete,Value 8,2011-06-08 07:24:35+00:00,Take in charge ticket,Value 8,Case2694,Variant 1,1,Fluxicon Disco
8054,Resolve ticket,complete,Value 9,2011-06-08 09:36:32+00:00,Resolve ticket,Value 9,Case2694,Variant 1,1,Fluxicon Disco
8055,Closed,complete,Value 5,2011-07-09 07:31:05+00:00,Closed,Value 5,Case2694,Variant 1,1,Fluxicon Disco
8056,Assign seriousness,complete,Value 8,2011-06-08 13:37:06+00:00,Assign seriousness,Value 8,Case2884,Variant 1,1,Fluxicon Disco
8057,Take in charge ticket,complete,Value 8,2011-06-08 13:39:11+00:00,Take in charge ticket,Value 8,Case2884,Variant 1,1,Fluxicon Disco
8058,Resolve ticket,complete,Value 9,2011-06-09 09:20:42+00:00,Resolve ticket,Value 9,Case2884,Variant 1,1,Fluxicon Disco
8059,Closed,complete,Value 5,2011-07-09 13:40:31+00:00,Closed,Value 5,Case2884,Variant 1,1,Fluxicon Disco
8060,Assign seriousness,complete,Value 8,2011-06-08 13:51:32+00:00,Assign seriousness,Value 8,Case1200,Variant 1,1,Fluxicon Disco
8061,Take in charge ticket,complete,Value 10,2011-06-09 07:07:27+00:00,Take in charge ticket,Value 10,Case1200,Variant 1,1,Fluxicon Disco
8062,Resolve ticket,complete,Value 10,2011-06-13 16:17:20+00:00,Resolve ticket,Value 10,Case1200,Variant 1,1,Fluxicon Disco
8063,Closed,complete,Value 5,2011-07-09 14:00:19+00:00,Closed,Value 5,Case1200,Variant 1,1,Fluxicon Disco
8064,Assign seriousness,complete,Value 8,2011-06-09 10:42:40+00:00,Assign seriousness,Value 8,Case564,Variant 1,1,Fluxicon Disco
8065,Take in charge ticket,complete,Value 8,2011-06-09 12:48:08+00:00,Take in charge ticket,Value 8,Case564,Variant 1,1,Fluxicon Disco
8066,Resolve ticket,complete,Value 12,2011-06-17 08:50:28+00:00,Resolve ticket,Value 12,Case564,Variant 1,1,Fluxicon Disco
8067,Closed,complete,Value 5,2011-07-12 10:51:04+00:00,Closed,Value 5,Case564,Variant 1,1,Fluxicon Disco
8068,Assign seriousness,complete,Value 13,2011-06-09 10:44:39+00:00,Assign seriousness,Value 13,Case310,Variant 2,2,Fluxicon Disco
8069,Take in charge ticket,complete,Value 7,2011-07-01 07:47:17+00:00,Take in charge ticket,Value 7,Case310,Variant 2,2,Fluxicon Disco
8070,Wait,complete,Value 7,2011-07-01 15:15:06+00:00,Wait,Value 7,Case310,Variant 2,2,Fluxicon Disco
8071,Resolve ticket,complete,Value 2,2011-07-14 15:42:45+00:00,Resolve ticket,Value 2,Case310,Variant 2,2,Fluxicon Disco
8072,Closed,complete,Value 5,2011-07-29 15:43:11+00:00,Closed,Value 5,Case310,Variant 2,2,Fluxicon Disco
8073,Assign seriousness,complete,Value 2,2011-06-09 14:53:06+00:00,Assign seriousness,Value 2,Case4483,Variant 1,1,Fluxicon Disco
8074,Take in charge ticket,complete,Value 2,2011-06-09 14:53:18+00:00,Take in charge ticket,Value 2,Case4483,Variant 1,1,Fluxicon Disco
8075,Resolve ticket,complete,Value 2,2011-06-09 15:29:33+00:00,Resolve ticket,Value 2,Case4483,Variant 1,1,Fluxicon Disco
8076,Closed,complete,Value 5,2011-07-27 15:00:57+00:00,Closed,Value 5,Case4483,Variant 1,1,Fluxicon Disco
8077,Assign seriousness,complete,Value 13,2011-06-10 10:22:58+00:00,Assign seriousness,Value 13,Case3003,Variant 1,1,Fluxicon Disco
8078,Take in charge ticket,complete,Value 13,2011-06-10 10:24:53+00:00,Take in charge ticket,Value 13,Case3003,Variant 1,1,Fluxicon Disco
8079,Resolve ticket,complete,Value 13,2011-06-10 10:25:31+00:00,Resolve ticket,Value 13,Case3003,Variant 1,1,Fluxicon Disco
8080,Closed,complete,Value 5,2011-07-13 10:30:23+00:00,Closed,Value 5,Case3003,Variant 1,1,Fluxicon Disco
8081,Assign seriousness,complete,Value 13,2011-06-13 07:29:16+00:00,Assign seriousness,Value 13,Case2018,Variant 3,3,Fluxicon Disco
8082,Take in charge ticket,complete,Value 13,2011-06-13 07:29:26+00:00,Take in charge ticket,Value 13,Case2018,Variant 3,3,Fluxicon Disco
8083,Wait,complete,Value 13,2011-06-13 09:40:43+00:00,Wait,Value 13,Case2018,Variant 3,3,Fluxicon Disco
8084,Take in charge ticket,complete,Value 13,2011-06-14 06:49:33+00:00,Take in charge ticket,Value 13,Case2018,Variant 3,3,Fluxicon Disco
8085,Resolve ticket,complete,Value 13,2011-06-14 10:43:48+00:00,Resolve ticket,Value 13,Case2018,Variant 3,3,Fluxicon Disco
8086,Closed,complete,Value 5,2011-07-14 13:40:44+00:00,Closed,Value 5,Case2018,Variant 3,3,Fluxicon Disco
8087,Assign seriousness,complete,Value 13,2011-06-13 09:22:41+00:00,Assign seriousness,Value 13,Case1205,Variant 1,1,Fluxicon Disco
8088,Take in charge ticket,complete,Value 13,2011-06-13 09:22:52+00:00,Take in charge ticket,Value 13,Case1205,Variant 1,1,Fluxicon Disco
8089,Resolve ticket,complete,Value 13,2011-06-13 09:23:20+00:00,Resolve ticket,Value 13,Case1205,Variant 1,1,Fluxicon Disco
8090,Closed,complete,Value 5,2011-07-16 09:32:26+00:00,Closed,Value 5,Case1205,Variant 1,1,Fluxicon Disco
8091,Assign seriousness,complete,Value 13,2011-06-13 09:35:25+00:00,Assign seriousness,Value 13,Case2651,Variant 1,1,Fluxicon Disco
8092,Take in charge ticket,complete,Value 13,2011-06-13 09:35:37+00:00,Take in charge ticket,Value 13,Case2651,Variant 1,1,Fluxicon Disco
8093,Resolve ticket,complete,Value 13,2011-06-13 09:36:24+00:00,Resolve ticket,Value 13,Case2651,Variant 1,1,Fluxicon Disco
8094,Closed,complete,Value 5,2011-07-20 09:40:37+00:00,Closed,Value 5,Case2651,Variant 1,1,Fluxicon Disco
8095,Assign seriousness,complete,Value 13,2011-06-13 10:04:38+00:00,Assign seriousness,Value 13,Case1991,Variant 1,1,Fluxicon Disco
8096,Take in charge ticket,complete,Value 13,2011-06-13 10:05:13+00:00,Take in charge ticket,Value 13,Case1991,Variant 1,1,Fluxicon Disco
8097,Resolve ticket,complete,Value 13,2011-06-13 12:40:22+00:00,Resolve ticket,Value 13,Case1991,Variant 1,1,Fluxicon Disco
8098,Closed,complete,Value 5,2011-07-14 10:10:19+00:00,Closed,Value 5,Case1991,Variant 1,1,Fluxicon Disco
8099,Assign seriousness,complete,Value 13,2011-06-13 14:07:00+00:00,Assign seriousness,Value 13,Case2923,Variant 1,1,Fluxicon Disco
8100,Take in charge ticket,complete,Value 13,2011-06-13 14:07:17+00:00,Take in charge ticket,Value 13,Case2923,Variant 1,1,Fluxicon Disco
8101,Resolve ticket,complete,Value 13,2011-06-14 13:45:41+00:00,Resolve ticket,Value 13,Case2923,Variant 1,1,Fluxicon Disco
8102,Closed,complete,Value 5,2011-07-14 14:11:40+00:00,Closed,Value 5,Case2923,Variant 1,1,Fluxicon Disco
8103,Assign seriousness,complete,Value 13,2011-06-14 07:10:03+00:00,Assign seriousness,Value 13,Case2333,Variant 32,32,Fluxicon Disco
8104,Take in charge ticket,complete,Value 13,2011-06-14 07:10:16+00:00,Take in charge ticket,Value 13,Case2333,Variant 32,32,Fluxicon Disco
8105,Take in charge ticket,complete,Value 2,2011-06-15 08:50:56+00:00,Take in charge ticket,Value 2,Case2333,Variant 32,32,Fluxicon Disco
8106,Take in charge ticket,complete,Value 2,2011-06-17 12:32:55+00:00,Take in charge ticket,Value 2,Case2333,Variant 32,32,Fluxicon Disco
8107,Resolve ticket,complete,Value 2,2011-06-17 12:33:02+00:00,Resolve ticket,Value 2,Case2333,Variant 32,32,Fluxicon Disco
8108,Closed,complete,Value 5,2011-07-15 07:20:30+00:00,Closed,Value 5,Case2333,Variant 32,32,Fluxicon Disco
8109,Assign seriousness,complete,Value 8,2011-06-14 07:11:34+00:00,Assign seriousness,Value 8,Case607,Variant 3,3,Fluxicon Disco
8110,Take in charge ticket,complete,Value 8,2011-06-14 07:22:14+00:00,Take in charge ticket,Value 8,Case607,Variant 3,3,Fluxicon Disco
8111,Wait,complete,Value 11,2011-06-16 15:20:04+00:00,Wait,Value 11,Case607,Variant 3,3,Fluxicon Disco
8112,Take in charge ticket,complete,Value 11,2011-06-17 13:19:03+00:00,Take in charge ticket,Value 11,Case607,Variant 3,3,Fluxicon Disco
8113,Resolve ticket,complete,Value 11,2011-06-17 13:20:01+00:00,Resolve ticket,Value 11,Case607,Variant 3,3,Fluxicon Disco
8114,Closed,complete,Value 5,2011-07-15 14:20:39+00:00,Closed,Value 5,Case607,Variant 3,3,Fluxicon Disco
8115,Assign seriousness,complete,Value 8,2011-06-14 07:28:48+00:00,Assign seriousness,Value 8,Case2190,Variant 1,1,Fluxicon Disco
8116,Take in charge ticket,complete,Value 8,2011-06-14 07:29:13+00:00,Take in charge ticket,Value 8,Case2190,Variant 1,1,Fluxicon Disco
8117,Resolve ticket,complete,Value 9,2011-06-14 10:26:02+00:00,Resolve ticket,Value 9,Case2190,Variant 1,1,Fluxicon Disco
8118,Closed,complete,Value 5,2011-07-15 07:30:41+00:00,Closed,Value 5,Case2190,Variant 1,1,Fluxicon Disco
8119,Assign seriousness,complete,Value 8,2011-06-14 07:42:12+00:00,Assign seriousness,Value 8,Case678,Variant 3,3,Fluxicon Disco
8120,Take in charge ticket,complete,Value 8,2011-06-14 07:42:37+00:00,Take in charge ticket,Value 8,Case678,Variant 3,3,Fluxicon Disco
8121,Wait,complete,Value 13,2011-06-21 10:25:39+00:00,Wait,Value 13,Case678,Variant 3,3,Fluxicon Disco
8122,Take in charge ticket,complete,Value 13,2011-07-20 08:46:01+00:00,Take in charge ticket,Value 13,Case678,Variant 3,3,Fluxicon Disco
8123,Resolve ticket,complete,Value 13,2011-07-20 09:06:53+00:00,Resolve ticket,Value 13,Case678,Variant 3,3,Fluxicon Disco
8124,Closed,complete,Value 5,2011-08-04 09:07:05+00:00,Closed,Value 5,Case678,Variant 3,3,Fluxicon Disco
8125,Assign seriousness,complete,Value 8,2011-06-14 10:00:16+00:00,Assign seriousness,Value 8,Case3174,Variant 1,1,Fluxicon Disco
8126,Take in charge ticket,complete,Value 8,2011-06-14 10:00:46+00:00,Take in charge ticket,Value 8,Case3174,Variant 1,1,Fluxicon Disco
8127,Resolve ticket,complete,Value 13,2011-06-14 10:52:30+00:00,Resolve ticket,Value 13,Case3174,Variant 1,1,Fluxicon Disco
8128,Closed,complete,Value 5,2011-07-15 10:10:29+00:00,Closed,Value 5,Case3174,Variant 1,1,Fluxicon Disco
8129,Assign seriousness,complete,Value 8,2011-06-14 12:59:43+00:00,Assign seriousness,Value 8,Case2442,Variant 3,3,Fluxicon Disco
8130,Take in charge ticket,complete,Value 8,2011-06-14 13:00:42+00:00,Take in charge ticket,Value 8,Case2442,Variant 3,3,Fluxicon Disco
8131,Wait,complete,Value 2,2011-06-22 13:24:54+00:00,Wait,Value 2,Case2442,Variant 3,3,Fluxicon Disco
8132,Take in charge ticket,complete,Value 2,2011-07-05 12:30:17+00:00,Take in charge ticket,Value 2,Case2442,Variant 3,3,Fluxicon Disco
8133,Resolve ticket,complete,Value 2,2011-07-05 12:31:26+00:00,Resolve ticket,Value 2,Case2442,Variant 3,3,Fluxicon Disco
8134,Closed,complete,Value 5,2011-07-20 12:31:47+00:00,Closed,Value 5,Case2442,Variant 3,3,Fluxicon Disco
8135,Assign seriousness,complete,Value 8,2011-06-14 13:14:44+00:00,Assign seriousness,Value 8,Case2869,Variant 3,3,Fluxicon Disco
8136,Take in charge ticket,complete,Value 9,2011-07-07 10:46:13+00:00,Take in charge ticket,Value 9,Case2869,Variant 3,3,Fluxicon Disco
8137,Wait,complete,Value 9,2011-07-08 14:07:29+00:00,Wait,Value 9,Case2869,Variant 3,3,Fluxicon Disco
8138,Take in charge ticket,complete,Value 9,2011-07-11 14:01:17+00:00,Take in charge ticket,Value 9,Case2869,Variant 3,3,Fluxicon Disco
8139,Resolve ticket,complete,Value 9,2011-07-11 14:02:01+00:00,Resolve ticket,Value 9,Case2869,Variant 3,3,Fluxicon Disco
8140,Closed,complete,Value 5,2011-07-26 14:02:15+00:00,Closed,Value 5,Case2869,Variant 3,3,Fluxicon Disco
8141,Assign seriousness,complete,Value 8,2011-06-15 07:38:09+00:00,Assign seriousness,Value 8,Case2364,Variant 1,1,Fluxicon Disco
8142,Take in charge ticket,complete,Value 8,2011-06-15 07:38:38+00:00,Take in charge ticket,Value 8,Case2364,Variant 1,1,Fluxicon Disco
8143,Resolve ticket,complete,Value 9,2011-06-15 13:30:15+00:00,Resolve ticket,Value 9,Case2364,Variant 1,1,Fluxicon Disco
8144,Closed,complete,Value 5,2011-07-16 07:40:59+00:00,Closed,Value 5,Case2364,Variant 1,1,Fluxicon Disco
8145,Assign seriousness,complete,Value 2,2011-06-15 10:06:19+00:00,Assign seriousness,Value 2,Case3450,Variant 27,27,Fluxicon Disco
8146,Take in charge ticket,complete,Value 2,2011-06-15 10:06:37+00:00,Take in charge ticket,Value 2,Case3450,Variant 27,27,Fluxicon Disco
8147,Wait,complete,Value 2,2011-06-15 16:02:15+00:00,Wait,Value 2,Case3450,Variant 27,27,Fluxicon Disco
8148,Take in charge ticket,complete,Value 2,2011-06-16 13:07:06+00:00,Take in charge ticket,Value 2,Case3450,Variant 27,27,Fluxicon Disco
8149,Resolve ticket,complete,Value 2,2011-06-16 13:07:16+00:00,Resolve ticket,Value 2,Case3450,Variant 27,27,Fluxicon Disco
8150,Take in charge ticket,complete,Value 10,2011-07-19 07:54:21+00:00,Take in charge ticket,Value 10,Case3450,Variant 27,27,Fluxicon Disco
8151,Resolve ticket,complete,Value 7,2011-07-19 13:46:37+00:00,Resolve ticket,Value 7,Case3450,Variant 27,27,Fluxicon Disco
8152,Closed,complete,Value 5,2011-08-03 13:46:53+00:00,Closed,Value 5,Case3450,Variant 27,27,Fluxicon Disco
8153,Assign seriousness,complete,Value 8,2011-06-16 09:08:59+00:00,Assign seriousness,Value 8,Case2281,Variant 160,160,Fluxicon Disco
8154,Assign seriousness,complete,Value 8,2011-06-16 09:09:21+00:00,Assign seriousness,Value 8,Case2281,Variant 160,160,Fluxicon Disco
8155,Assign seriousness,complete,Value 2,2011-06-20 08:45:53+00:00,Assign seriousness,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8156,Assign seriousness,complete,Value 2,2011-06-21 15:46:47+00:00,Assign seriousness,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8157,Take in charge ticket,complete,Value 2,2011-06-21 15:47:13+00:00,Take in charge ticket,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8158,Wait,complete,Value 2,2011-06-28 09:25:57+00:00,Wait,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8159,Take in charge ticket,complete,Value 2,2011-06-29 10:26:38+00:00,Take in charge ticket,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8160,Resolve ticket,complete,Value 2,2011-06-29 10:27:32+00:00,Resolve ticket,Value 2,Case2281,Variant 160,160,Fluxicon Disco
8161,Closed,complete,Value 5,2011-07-20 10:10:59+00:00,Closed,Value 5,Case2281,Variant 160,160,Fluxicon Disco
8162,Assign seriousness,complete,Value 8,2011-06-16 09:18:06+00:00,Assign seriousness,Value 8,Case3926,Variant 1,1,Fluxicon Disco
8163,Take in charge ticket,complete,Value 10,2011-07-19 07:58:36+00:00,Take in charge ticket,Value 10,Case3926,Variant 1,1,Fluxicon Disco
8164,Resolve ticket,complete,Value 9,2011-07-19 13:37:53+00:00,Resolve ticket,Value 9,Case3926,Variant 1,1,Fluxicon Disco
8165,Closed,complete,Value 5,2011-08-03 13:38:07+00:00,Closed,Value 5,Case3926,Variant 1,1,Fluxicon Disco
8166,Assign seriousness,complete,Value 8,2011-06-16 09:54:12+00:00,Assign seriousness,Value 8,Case3843,Variant 1,1,Fluxicon Disco
8167,Take in charge ticket,complete,Value 8,2011-06-16 09:54:32+00:00,Take in charge ticket,Value 8,Case3843,Variant 1,1,Fluxicon Disco
8168,Resolve ticket,complete,Value 8,2011-06-16 09:54:43+00:00,Resolve ticket,Value 8,Case3843,Variant 1,1,Fluxicon Disco
8169,Closed,complete,Value 5,2011-07-21 10:00:31+00:00,Closed,Value 5,Case3843,Variant 1,1,Fluxicon Disco
8170,Assign seriousness,complete,Value 2,2011-06-16 10:59:42+00:00,Assign seriousness,Value 2,Case2808,Variant 14,14,Fluxicon Disco
8171,Take in charge ticket,complete,Value 2,2011-06-16 11:00:02+00:00,Take in charge ticket,Value 2,Case2808,Variant 14,14,Fluxicon Disco
8172,Wait,complete,Value 2,2011-06-20 13:28:47+00:00,Wait,Value 2,Case2808,Variant 14,14,Fluxicon Disco
8173,Wait,complete,Value 2,2011-06-20 13:31:01+00:00,Wait,Value 2,Case2808,Variant 14,14,Fluxicon Disco
8174,Resolve ticket,complete,Value 2,2011-07-14 15:36:31+00:00,Resolve ticket,Value 2,Case2808,Variant 14,14,Fluxicon Disco
8175,Closed,complete,Value 5,2011-07-29 15:36:54+00:00,Closed,Value 5,Case2808,Variant 14,14,Fluxicon Disco
8176,Assign seriousness,complete,Value 8,2011-06-16 12:23:39+00:00,Assign seriousness,Value 8,Case42,Variant 1,1,Fluxicon Disco
8177,Take in charge ticket,complete,Value 8,2011-06-16 12:51:05+00:00,Take in charge ticket,Value 8,Case42,Variant 1,1,Fluxicon Disco
8178,Resolve ticket,complete,Value 8,2011-06-16 13:39:51+00:00,Resolve ticket,Value 8,Case42,Variant 1,1,Fluxicon Disco
8179,Closed,complete,Value 5,2011-07-30 12:30:33+00:00,Closed,Value 5,Case42,Variant 1,1,Fluxicon Disco
8180,Assign seriousness,complete,Value 2,2011-06-16 13:11:20+00:00,Assign seriousness,Value 2,Case4516,Variant 1,1,Fluxicon Disco
8181,Take in charge ticket,complete,Value 2,2011-06-16 13:11:33+00:00,Take in charge ticket,Value 2,Case4516,Variant 1,1,Fluxicon Disco
8182,Resolve ticket,complete,Value 2,2011-06-16 13:17:04+00:00,Resolve ticket,Value 2,Case4516,Variant 1,1,Fluxicon Disco
8183,Closed,complete,Value 5,2011-07-19 13:20:38+00:00,Closed,Value 5,Case4516,Variant 1,1,Fluxicon Disco
8184,Assign seriousness,complete,Value 2,2011-06-17 08:02:53+00:00,Assign seriousness,Value 2,Case3488,Variant 1,1,Fluxicon Disco
8185,Take in charge ticket,complete,Value 2,2011-06-17 12:26:52+00:00,Take in charge ticket,Value 2,Case3488,Variant 1,1,Fluxicon Disco
8186,Resolve ticket,complete,Value 2,2011-06-17 12:28:55+00:00,Resolve ticket,Value 2,Case3488,Variant 1,1,Fluxicon Disco
8187,Closed,complete,Value 5,2011-07-22 08:10:33+00:00,Closed,Value 5,Case3488,Variant 1,1,Fluxicon Disco
8188,Assign seriousness,complete,Value 2,2011-06-17 08:04:48+00:00,Assign seriousness,Value 2,Case1763,Variant 1,1,Fluxicon Disco
8189,Take in charge ticket,complete,Value 7,2011-06-17 08:26:39+00:00,Take in charge ticket,Value 7,Case1763,Variant 1,1,Fluxicon Disco
8190,Resolve ticket,complete,Value 7,2011-06-17 08:27:42+00:00,Resolve ticket,Value 7,Case1763,Variant 1,1,Fluxicon Disco
8191,Closed,complete,Value 5,2011-07-31 08:11:49+00:00,Closed,Value 5,Case1763,Variant 1,1,Fluxicon Disco
8192,Assign seriousness,complete,Value 2,2011-06-17 10:37:50+00:00,Assign seriousness,Value 2,Case1827,Variant 1,1,Fluxicon Disco
8193,Take in charge ticket,complete,Value 2,2011-06-17 10:38:04+00:00,Take in charge ticket,Value 2,Case1827,Variant 1,1,Fluxicon Disco
8194,Resolve ticket,complete,Value 2,2011-07-04 15:16:02+00:00,Resolve ticket,Value 2,Case1827,Variant 1,1,Fluxicon Disco
8195,Closed,complete,Value 5,2011-07-20 10:40:32+00:00,Closed,Value 5,Case1827,Variant 1,1,Fluxicon Disco
8196,Assign seriousness,complete,Value 2,2011-06-17 13:30:49+00:00,Assign seriousness,Value 2,Case3826,Variant 4,4,Fluxicon Disco
8197,Assign seriousness,complete,Value 2,2011-06-17 13:31:01+00:00,Assign seriousness,Value 2,Case3826,Variant 4,4,Fluxicon Disco
8198,Take in charge ticket,complete,Value 12,2011-06-17 13:36:06+00:00,Take in charge ticket,Value 12,Case3826,Variant 4,4,Fluxicon Disco
8199,Resolve ticket,complete,Value 12,2011-06-17 13:38:29+00:00,Resolve ticket,Value 12,Case3826,Variant 4,4,Fluxicon Disco
8200,Closed,complete,Value 5,2011-07-22 13:40:27+00:00,Closed,Value 5,Case3826,Variant 4,4,Fluxicon Disco
8201,Assign seriousness,complete,Value 9,2011-06-17 15:59:46+00:00,Assign seriousness,Value 9,Case1168,Variant 49,49,Fluxicon Disco
8202,Wait,complete,Value 9,2011-06-17 16:00:22+00:00,Wait,Value 9,Case1168,Variant 49,49,Fluxicon Disco
8203,Take in charge ticket,complete,Value 2,2011-07-06 16:08:34+00:00,Take in charge ticket,Value 2,Case1168,Variant 49,49,Fluxicon Disco
8204,Resolve ticket,complete,Value 10,2011-07-19 07:57:22+00:00,Resolve ticket,Value 10,Case1168,Variant 49,49,Fluxicon Disco
8205,Resolve ticket,complete,Value 10,2011-07-19 07:57:23+00:00,Resolve ticket,Value 10,Case1168,Variant 49,49,Fluxicon Disco
8206,Closed,complete,Value 5,2011-08-03 07:57:38+00:00,Closed,Value 5,Case1168,Variant 49,49,Fluxicon Disco
8207,Assign seriousness,complete,Value 2,2011-06-20 07:36:15+00:00,Assign seriousness,Value 2,Case1312,Variant 1,1,Fluxicon Disco
8208,Take in charge ticket,complete,Value 2,2011-06-20 07:46:13+00:00,Take in charge ticket,Value 2,Case1312,Variant 1,1,Fluxicon Disco
8209,Resolve ticket,complete,Value 2,2011-06-20 07:52:36+00:00,Resolve ticket,Value 2,Case1312,Variant 1,1,Fluxicon Disco
8210,Closed,complete,Value 5,2011-08-03 07:40:45+00:00,Closed,Value 5,Case1312,Variant 1,1,Fluxicon Disco
8211,Assign seriousness,complete,Value 2,2011-06-20 13:18:42+00:00,Assign seriousness,Value 2,Case3039,Variant 1,1,Fluxicon Disco
8212,Take in charge ticket,complete,Value 2,2011-06-22 13:35:23+00:00,Take in charge ticket,Value 2,Case3039,Variant 1,1,Fluxicon Disco
8213,Resolve ticket,complete,Value 2,2011-06-28 12:43:09+00:00,Resolve ticket,Value 2,Case3039,Variant 1,1,Fluxicon Disco
8214,Closed,complete,Value 5,2011-07-21 13:21:22+00:00,Closed,Value 5,Case3039,Variant 1,1,Fluxicon Disco
8215,Assign seriousness,complete,Value 2,2011-06-20 14:24:05+00:00,Assign seriousness,Value 2,Case2147,Variant 3,3,Fluxicon Disco
8216,Take in charge ticket,complete,Value 2,2011-06-22 07:04:14+00:00,Take in charge ticket,Value 2,Case2147,Variant 3,3,Fluxicon Disco
8217,Wait,complete,Value 2,2011-06-22 08:17:37+00:00,Wait,Value 2,Case2147,Variant 3,3,Fluxicon Disco
8218,Take in charge ticket,complete,Value 2,2011-06-29 07:28:52+00:00,Take in charge ticket,Value 2,Case2147,Variant 3,3,Fluxicon Disco
8219,Resolve ticket,complete,Value 2,2011-06-29 07:29:49+00:00,Resolve ticket,Value 2,Case2147,Variant 3,3,Fluxicon Disco
8220,Closed,complete,Value 5,2011-07-28 13:40:42+00:00,Closed,Value 5,Case2147,Variant 3,3,Fluxicon Disco
8221,Assign seriousness,complete,Value 8,2011-06-21 07:42:32+00:00,Assign seriousness,Value 8,Case4152,Variant 4,4,Fluxicon Disco
8222,Assign seriousness,complete,Value 8,2011-06-21 07:42:47+00:00,Assign seriousness,Value 8,Case4152,Variant 4,4,Fluxicon Disco
8223,Take in charge ticket,complete,Value 13,2011-06-23 10:48:23+00:00,Take in charge ticket,Value 13,Case4152,Variant 4,4,Fluxicon Disco
8224,Resolve ticket,complete,Value 13,2011-06-28 13:59:04+00:00,Resolve ticket,Value 13,Case4152,Variant 4,4,Fluxicon Disco
8225,Closed,complete,Value 5,2011-07-22 07:50:39+00:00,Closed,Value 5,Case4152,Variant 4,4,Fluxicon Disco
8226,Assign seriousness,complete,Value 8,2011-06-21 07:56:01+00:00,Assign seriousness,Value 8,Case1541,Variant 4,4,Fluxicon Disco
8227,Assign seriousness,complete,Value 8,2011-06-21 07:56:15+00:00,Assign seriousness,Value 8,Case1541,Variant 4,4,Fluxicon Disco
8228,Take in charge ticket,complete,Value 13,2011-06-27 09:24:21+00:00,Take in charge ticket,Value 13,Case1541,Variant 4,4,Fluxicon Disco
8229,Resolve ticket,complete,Value 13,2011-07-01 09:59:29+00:00,Resolve ticket,Value 13,Case1541,Variant 4,4,Fluxicon Disco
8230,Closed,complete,Value 5,2011-07-22 08:00:18+00:00,Closed,Value 5,Case1541,Variant 4,4,Fluxicon Disco
8231,Assign seriousness,complete,Value 8,2011-06-21 08:44:10+00:00,Assign seriousness,Value 8,Case3033,Variant 4,4,Fluxicon Disco
