,case_id,prefix_length,activities,resources,timestamps,next_activity
5828,Case2944,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-05-26 12:16:35+0000', tz='UTC'), Timestamp('2011-05-26 12:17:21+0000', tz='UTC')]",Wait
5829,Case2944,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 13']","[Timestamp('2011-05-26 12:16:35+0000', tz='UTC'), Timestamp('2011-05-26 12:17:21+0000', tz='UTC'), Timestamp('2011-05-27 10:45:22+0000', tz='UTC')]",Take in charge ticket
5830,Case2944,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 13', 'Value 13']","[Timestamp('2011-05-26 12:16:35+0000', tz='UTC'), Timestamp('2011-05-26 12:17:21+0000', tz='UTC'), Timestamp('2011-05-27 10:45:22+0000', tz='UTC'), Timestamp('2011-06-21 07:27:00+0000', tz='UTC')]",Resolve ticket
5831,Case2945,1,['Assign seriousness'],['Value 9'],"[Timestamp('2011-08-16 12:26:37+0000', tz='UTC')]",Wait
5832,Case2945,2,"['Assign seriousness', 'Wait']","['Value 9', 'Value 9']","[Timestamp('2011-08-16 12:26:37+0000', tz='UTC'), Timestamp('2011-08-16 13:12:48+0000', tz='UTC')]",Resolve ticket
5833,Case2946,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-04-19 07:16:59+0000', tz='UTC')]",Take in charge ticket
5834,Case2946,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2012-04-19 07:16:59+0000', tz='UTC'), Timestamp('2012-04-19 13:36:49+0000', tz='UTC')]",Wait
5835,Case2946,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 13', 'Value 13']","[Timestamp('2012-04-19 07:16:59+0000', tz='UTC'), Timestamp('2012-04-19 13:36:49+0000', tz='UTC'), Timestamp('2012-04-24 09:40:04+0000', tz='UTC')]",Resolve ticket
5836,Case2947,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-10-14 14:25:03+0000', tz='UTC')]",Resolve ticket
5837,Case2947,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 1']","[Timestamp('2011-10-14 14:25:03+0000', tz='UTC'), Timestamp('2011-10-14 15:19:23+0000', tz='UTC')]",Resolve ticket
5838,Case2948,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-12-01 13:08:57+0000', tz='UTC')]",Take in charge ticket
5839,Case2948,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2011-12-01 13:08:57+0000', tz='UTC'), Timestamp('2011-12-02 16:18:20+0000', tz='UTC')]",Resolve ticket
5840,Case2949,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-10-17 10:52:27+0000', tz='UTC')]",Take in charge ticket
5841,Case2949,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2012-10-17 10:52:27+0000', tz='UTC'), Timestamp('2012-10-30 16:14:27+0000', tz='UTC')]",Wait
5842,Case2949,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 9']","[Timestamp('2012-10-17 10:52:27+0000', tz='UTC'), Timestamp('2012-10-30 16:14:27+0000', tz='UTC'), Timestamp('2012-10-31 13:43:45+0000', tz='UTC')]",Resolve ticket
5843,Case295,1,['Assign seriousness'],['Value 9'],"[Timestamp('2012-02-15 09:20:54+0000', tz='UTC')]",Take in charge ticket
5844,Case295,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 6']","[Timestamp('2012-02-15 09:20:54+0000', tz='UTC'), Timestamp('2012-02-15 09:30:22+0000', tz='UTC')]",Resolve ticket
5845,Case295,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 6', 'Value 17']","[Timestamp('2012-02-15 09:20:54+0000', tz='UTC'), Timestamp('2012-02-15 09:30:22+0000', tz='UTC'), Timestamp('2012-02-15 13:06:58+0000', tz='UTC')]",Resolve ticket
5846,Case2950,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-04-28 13:07:18+0000', tz='UTC')]",Take in charge ticket
5847,Case2950,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[Timestamp('2011-04-28 13:07:18+0000', tz='UTC'), Timestamp('2011-04-28 13:10:09+0000', tz='UTC')]",Resolve ticket
5848,Case2951,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-03-09 10:33:27+0000', tz='UTC')]",Take in charge ticket
5849,Case2951,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-03-09 10:33:27+0000', tz='UTC'), Timestamp('2011-03-09 10:35:25+0000', tz='UTC')]",Wait
5850,Case2951,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 9']","[Timestamp('2011-03-09 10:33:27+0000', tz='UTC'), Timestamp('2011-03-09 10:35:25+0000', tz='UTC'), Timestamp('2011-03-09 12:02:32+0000', tz='UTC')]",Take in charge ticket
5851,Case2951,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 9', 'Value 9']","[Timestamp('2011-03-09 10:33:27+0000', tz='UTC'), Timestamp('2011-03-09 10:35:25+0000', tz='UTC'), Timestamp('2011-03-09 12:02:32+0000', tz='UTC'), Timestamp('2011-03-10 13:46:03+0000', tz='UTC')]",Resolve ticket
5852,Case2952,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-11-16 16:10:11+0000', tz='UTC')]",Take in charge ticket
5853,Case2952,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2011-11-16 16:10:11+0000', tz='UTC'), Timestamp('2011-11-22 11:25:52+0000', tz='UTC')]",Wait
5854,Case2952,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[Timestamp('2011-11-16 16:10:11+0000', tz='UTC'), Timestamp('2011-11-22 11:25:52+0000', tz='UTC'), Timestamp('2011-11-22 15:41:45+0000', tz='UTC')]",Resolve ticket
5855,Case2953,1,['Assign seriousness'],['Value 14'],"[Timestamp('2010-09-21 14:28:40+0000', tz='UTC')]",Take in charge ticket
5856,Case2953,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14']","[Timestamp('2010-09-21 14:28:40+0000', tz='UTC'), Timestamp('2010-09-21 14:30:18+0000', tz='UTC')]",Resolve ticket
5857,Case2954,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-05-27 12:34:51+0000', tz='UTC')]",Take in charge ticket
5858,Case2954,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-05-27 12:34:51+0000', tz='UTC'), Timestamp('2010-05-27 12:36:21+0000', tz='UTC')]",Resolve ticket
5859,Case2955,1,['Insert ticket'],['Value 15'],"[Timestamp('2011-08-30 13:20:01+0000', tz='UTC')]",Assign seriousness
5860,Case2955,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[Timestamp('2011-08-30 13:20:01+0000', tz='UTC'), Timestamp('2011-08-30 13:21:29+0000', tz='UTC')]",Take in charge ticket
5861,Case2955,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 15']","[Timestamp('2011-08-30 13:20:01+0000', tz='UTC'), Timestamp('2011-08-30 13:21:29+0000', tz='UTC'), Timestamp('2011-08-30 13:21:42+0000', tz='UTC')]",Resolve ticket
5862,Case2956,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-01-28 17:00:24+0000', tz='UTC')]",Wait
5863,Case2956,2,"['Assign seriousness', 'Wait']","['Value 1', 'Value 1']","[Timestamp('2013-01-28 17:00:24+0000', tz='UTC'), Timestamp('2013-02-12 16:54:21+0000', tz='UTC')]",Resolve ticket
5864,Case2957,1,['Assign seriousness'],['Value 9'],"[Timestamp('2010-08-05 12:21:58+0000', tz='UTC')]",Take in charge ticket
5865,Case2957,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[Timestamp('2010-08-05 12:21:58+0000', tz='UTC'), Timestamp('2010-08-05 13:26:14+0000', tz='UTC')]",Resolve ticket
5866,Case2958,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-04-11 09:29:01+0000', tz='UTC')]",Take in charge ticket
5867,Case2958,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 6']","[Timestamp('2012-04-11 09:29:01+0000', tz='UTC'), Timestamp('2012-04-11 12:23:16+0000', tz='UTC')]",Resolve ticket
5868,Case2959,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-04-21 15:53:03+0000', tz='UTC')]",Take in charge ticket
5869,Case2959,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 21']","[Timestamp('2010-04-21 15:53:03+0000', tz='UTC'), Timestamp('2010-05-24 09:17:47+0000', tz='UTC')]",Resolve ticket
5870,Case296,1,['Assign seriousness'],['Value 14'],"[Timestamp('2013-05-28 07:02:36+0000', tz='UTC')]",Take in charge ticket
5871,Case296,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 9']","[Timestamp('2013-05-28 07:02:36+0000', tz='UTC'), Timestamp('2013-06-17 12:42:33+0000', tz='UTC')]",Wait
5872,Case296,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 14', 'Value 9', 'Value 9']","[Timestamp('2013-05-28 07:02:36+0000', tz='UTC'), Timestamp('2013-06-17 12:42:33+0000', tz='UTC'), Timestamp('2013-06-17 14:24:47+0000', tz='UTC')]",Resolve ticket
5873,Case2960,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-03-29 09:29:38+0000', tz='UTC')]",Take in charge ticket
5874,Case2960,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-03-29 09:29:38+0000', tz='UTC'), Timestamp('2012-03-29 09:29:47+0000', tz='UTC')]",Resolve ticket
5875,Case2961,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-06-05 12:21:19+0000', tz='UTC')]",Take in charge ticket
5876,Case2961,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 6']","[Timestamp('2012-06-05 12:21:19+0000', tz='UTC'), Timestamp('2012-06-06 07:03:09+0000', tz='UTC')]",Resolve ticket
5877,Case2962,1,['Assign seriousness'],['Value 13'],"[Timestamp('2013-01-22 13:27:51+0000', tz='UTC')]",Take in charge ticket
5878,Case2962,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 2']","[Timestamp('2013-01-22 13:27:51+0000', tz='UTC'), Timestamp('2013-02-06 16:41:17+0000', tz='UTC')]",Wait
5879,Case2962,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 13', 'Value 2', 'Value 9']","[Timestamp('2013-01-22 13:27:51+0000', tz='UTC'), Timestamp('2013-02-06 16:41:17+0000', tz='UTC'), Timestamp('2013-02-07 09:07:32+0000', tz='UTC')]",Resolve ticket
5880,Case2963,1,['Assign seriousness'],['Value 13'],"[Timestamp('2011-09-13 10:34:38+0000', tz='UTC')]",Take in charge ticket
5881,Case2963,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 13']","[Timestamp('2011-09-13 10:34:38+0000', tz='UTC'), Timestamp('2011-09-13 10:35:02+0000', tz='UTC')]",Resolve ticket
5882,Case2964,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-01-30 08:55:30+0000', tz='UTC')]",Take in charge ticket
5883,Case2964,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2013-01-30 08:55:30+0000', tz='UTC'), Timestamp('2013-02-15 08:16:39+0000', tz='UTC')]",Wait
5884,Case2964,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[Timestamp('2013-01-30 08:55:30+0000', tz='UTC'), Timestamp('2013-02-15 08:16:39+0000', tz='UTC'), Timestamp('2013-02-15 08:19:12+0000', tz='UTC')]",Resolve ticket
5885,Case2965,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-11-30 17:07:43+0000', tz='UTC')]",Take in charge ticket
5886,Case2965,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 7']","[Timestamp('2010-11-30 17:07:43+0000', tz='UTC'), Timestamp('2010-12-01 15:28:59+0000', tz='UTC')]",Resolve ticket
5887,Case2965,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 7', 'Value 7']","[Timestamp('2010-11-30 17:07:43+0000', tz='UTC'), Timestamp('2010-12-01 15:28:59+0000', tz='UTC'), Timestamp('2010-12-01 15:29:07+0000', tz='UTC')]",Resolve ticket
5888,Case2966,1,['Assign seriousness'],['Value 14'],"[Timestamp('2013-06-12 11:02:37+0000', tz='UTC')]",Take in charge ticket
5889,Case2966,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 9']","[Timestamp('2013-06-12 11:02:37+0000', tz='UTC'), Timestamp('2013-06-27 10:38:00+0000', tz='UTC')]",Wait
5890,Case2966,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 14', 'Value 9', 'Value 9']","[Timestamp('2013-06-12 11:02:37+0000', tz='UTC'), Timestamp('2013-06-27 10:38:00+0000', tz='UTC'), Timestamp('2013-06-27 13:37:39+0000', tz='UTC')]",Resolve ticket
5891,Case2967,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-11-02 17:01:36+0000', tz='UTC')]",Take in charge ticket
5892,Case2967,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2011-11-02 17:01:36+0000', tz='UTC'), Timestamp('2011-11-02 17:06:35+0000', tz='UTC')]",Wait
5893,Case2967,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[Timestamp('2011-11-02 17:01:36+0000', tz='UTC'), Timestamp('2011-11-02 17:06:35+0000', tz='UTC'), Timestamp('2011-11-02 17:23:23+0000', tz='UTC')]",Resolve ticket
5894,Case2968,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-06-19 07:40:30+0000', tz='UTC')]",Take in charge ticket
5895,Case2968,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2013-06-19 07:40:30+0000', tz='UTC'), Timestamp('2013-06-19 07:41:00+0000', tz='UTC')]",Wait
5896,Case2968,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 1']","[Timestamp('2013-06-19 07:40:30+0000', tz='UTC'), Timestamp('2013-06-19 07:41:00+0000', tz='UTC'), Timestamp('2013-06-28 13:44:28+0000', tz='UTC')]",Resolve ticket
5897,Case2969,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-03-05 14:00:59+0000', tz='UTC')]",Take in charge ticket
5898,Case2969,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 10']","[Timestamp('2012-03-05 14:00:59+0000', tz='UTC'), Timestamp('2012-03-05 14:07:25+0000', tz='UTC')]",Resolve ticket
5899,Case297,1,['Assign seriousness'],['Value 19'],"[Timestamp('2010-07-15 10:44:37+0000', tz='UTC')]",Take in charge ticket
5900,Case297,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 2']","[Timestamp('2010-07-15 10:44:37+0000', tz='UTC'), Timestamp('2010-07-15 12:54:40+0000', tz='UTC')]",Resolve ticket
5901,Case2970,1,['Assign seriousness'],['Value 4'],"[Timestamp('2013-03-18 10:53:43+0000', tz='UTC')]",Take in charge ticket
5902,Case2970,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 2']","[Timestamp('2013-03-18 10:53:43+0000', tz='UTC'), Timestamp('2013-04-03 07:12:52+0000', tz='UTC')]",Require upgrade
5903,Case2970,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 4', 'Value 2', 'Value 1']","[Timestamp('2013-03-18 10:53:43+0000', tz='UTC'), Timestamp('2013-04-03 07:12:52+0000', tz='UTC'), Timestamp('2013-04-03 09:26:31+0000', tz='UTC')]",Wait
5904,Case2970,4,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Wait']","['Value 4', 'Value 2', 'Value 1', 'Value 1']","[Timestamp('2013-03-18 10:53:43+0000', tz='UTC'), Timestamp('2013-04-03 07:12:52+0000', tz='UTC'), Timestamp('2013-04-03 09:26:31+0000', tz='UTC'), Timestamp('2013-04-03 09:58:24+0000', tz='UTC')]",Resolve ticket
5905,Case2971,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-02-01 13:41:12+0000', tz='UTC')]",Take in charge ticket
5906,Case2971,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 12']","[Timestamp('2013-02-01 13:41:12+0000', tz='UTC'), Timestamp('2013-02-01 15:10:20+0000', tz='UTC')]",Resolve ticket
5907,Case2972,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-10-19 09:25:30+0000', tz='UTC')]",Assign seriousness
5908,Case2972,2,"['Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 1']","[Timestamp('2011-10-19 09:25:30+0000', tz='UTC'), Timestamp('2011-10-19 09:27:57+0000', tz='UTC')]",Take in charge ticket
5909,Case2972,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 16']","[Timestamp('2011-10-19 09:25:30+0000', tz='UTC'), Timestamp('2011-10-19 09:27:57+0000', tz='UTC'), Timestamp('2011-10-19 09:46:08+0000', tz='UTC')]",Resolve ticket
5910,Case2973,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-05-30 14:23:13+0000', tz='UTC')]",Take in charge ticket
5911,Case2973,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-05-30 14:23:13+0000', tz='UTC'), Timestamp('2012-05-30 14:23:30+0000', tz='UTC')]",Resolve ticket
5912,Case2974,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-02-08 11:25:52+0000', tz='UTC')]",Take in charge ticket
5913,Case2974,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-02-08 11:25:52+0000', tz='UTC'), Timestamp('2012-02-08 11:25:59+0000', tz='UTC')]",Resolve ticket
5914,Case2975,1,['Assign seriousness'],['Value 18'],"[Timestamp('2013-10-04 07:28:22+0000', tz='UTC')]",Wait
5915,Case2975,2,"['Assign seriousness', 'Wait']","['Value 18', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC')]",Assign seriousness
5916,Case2975,3,"['Assign seriousness', 'Wait', 'Assign seriousness']","['Value 18', 'Value 2', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC'), Timestamp('2013-10-18 14:16:16+0000', tz='UTC')]",Take in charge ticket
5917,Case2975,4,"['Assign seriousness', 'Wait', 'Assign seriousness', 'Take in charge ticket']","['Value 18', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC'), Timestamp('2013-10-18 14:16:16+0000', tz='UTC'), Timestamp('2013-10-21 08:49:13+0000', tz='UTC')]",Wait
5918,Case2975,5,"['Assign seriousness', 'Wait', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 18', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC'), Timestamp('2013-10-18 14:16:16+0000', tz='UTC'), Timestamp('2013-10-21 08:49:13+0000', tz='UTC'), Timestamp('2013-10-21 08:51:16+0000', tz='UTC')]",Wait
5919,Case2975,6,"['Assign seriousness', 'Wait', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait']","['Value 18', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC'), Timestamp('2013-10-18 14:16:16+0000', tz='UTC'), Timestamp('2013-10-21 08:49:13+0000', tz='UTC'), Timestamp('2013-10-21 08:51:16+0000', tz='UTC'), Timestamp('2013-10-21 08:52:05+0000', tz='UTC')]",Take in charge ticket
5920,Case2975,7,"['Assign seriousness', 'Wait', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket']","['Value 18', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2013-10-04 07:28:22+0000', tz='UTC'), Timestamp('2013-10-04 09:52:28+0000', tz='UTC'), Timestamp('2013-10-18 14:16:16+0000', tz='UTC'), Timestamp('2013-10-21 08:49:13+0000', tz='UTC'), Timestamp('2013-10-21 08:51:16+0000', tz='UTC'), Timestamp('2013-10-21 08:52:05+0000', tz='UTC'), Timestamp('2013-10-21 08:52:50+0000', tz='UTC')]",Resolve ticket
5921,Case2976,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-04-08 13:03:59+0000', tz='UTC')]",Take in charge ticket
5922,Case2976,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-04-08 13:03:59+0000', tz='UTC'), Timestamp('2010-04-08 13:04:15+0000', tz='UTC')]",Resolve ticket
5923,Case2977,1,['Assign seriousness'],['Value 2'],"[Timestamp('2012-05-10 08:27:27+0000', tz='UTC')]",Take in charge ticket
5924,Case2977,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2012-05-10 08:27:27+0000', tz='UTC'), Timestamp('2012-05-10 08:27:36+0000', tz='UTC')]",Resolve ticket
5925,Case2978,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-04-11 09:07:00+0000', tz='UTC')]",Take in charge ticket
5926,Case2978,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-04-11 09:07:00+0000', tz='UTC'), Timestamp('2012-04-11 12:21:13+0000', tz='UTC')]",Wait
5927,Case2978,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[Timestamp('2012-04-11 09:07:00+0000', tz='UTC'), Timestamp('2012-04-11 12:21:13+0000', tz='UTC'), Timestamp('2012-04-16 07:23:40+0000', tz='UTC')]",Resolve ticket
5928,Case2979,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-02-17 16:53:21+0000', tz='UTC')]",Take in charge ticket
5929,Case2979,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-02-17 16:53:21+0000', tz='UTC'), Timestamp('2010-02-23 15:53:52+0000', tz='UTC')]",Resolve ticket
5930,Case298,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-11-30 16:41:26+0000', tz='UTC')]",Take in charge ticket
5931,Case298,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 7']","[Timestamp('2010-11-30 16:41:26+0000', tz='UTC'), Timestamp('2010-12-01 09:11:18+0000', tz='UTC')]",Resolve ticket
5932,Case2980,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-11-23 10:19:02+0000', tz='UTC')]",Take in charge ticket
5933,Case2980,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-11-23 10:19:02+0000', tz='UTC'), Timestamp('2010-11-23 10:49:15+0000', tz='UTC')]",Resolve ticket
5934,Case2981,1,['Assign seriousness'],['Value 18'],"[Timestamp('2013-10-03 09:29:21+0000', tz='UTC')]",Assign seriousness
5935,Case2981,2,"['Assign seriousness', 'Assign seriousness']","['Value 18', 'Value 18']","[Timestamp('2013-10-03 09:29:21+0000', tz='UTC'), Timestamp('2013-10-03 09:29:36+0000', tz='UTC')]",Take in charge ticket
5936,Case2981,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 18', 'Value 18', 'Value 18']","[Timestamp('2013-10-03 09:29:21+0000', tz='UTC'), Timestamp('2013-10-03 09:29:36+0000', tz='UTC'), Timestamp('2013-10-03 09:29:46+0000', tz='UTC')]",Require upgrade
5937,Case2981,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 18', 'Value 18', 'Value 18', 'Value 18']","[Timestamp('2013-10-03 09:29:21+0000', tz='UTC'), Timestamp('2013-10-03 09:29:36+0000', tz='UTC'), Timestamp('2013-10-03 09:29:46+0000', tz='UTC'), Timestamp('2013-10-03 09:54:25+0000', tz='UTC')]",Require upgrade
5938,Case2981,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Require upgrade']","['Value 18', 'Value 18', 'Value 18', 'Value 18', 'Value 9']","[Timestamp('2013-10-03 09:29:21+0000', tz='UTC'), Timestamp('2013-10-03 09:29:36+0000', tz='UTC'), Timestamp('2013-10-03 09:29:46+0000', tz='UTC'), Timestamp('2013-10-03 09:54:25+0000', tz='UTC'), Timestamp('2013-10-14 08:31:13+0000', tz='UTC')]",Resolve ticket
5939,Case2982,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-12-16 08:22:54+0000', tz='UTC')]",Resolve ticket
5940,Case2982,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 2']","[Timestamp('2011-12-16 08:22:54+0000', tz='UTC'), Timestamp('2011-12-21 15:22:35+0000', tz='UTC')]",Resolve ticket
5941,Case2983,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-06-16 07:27:14+0000', tz='UTC')]",Take in charge ticket
5942,Case2983,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-06-16 07:27:14+0000', tz='UTC'), Timestamp('2010-06-16 09:20:13+0000', tz='UTC')]",Resolve ticket
5943,Case2984,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-04-04 16:06:08+0000', tz='UTC')]",Take in charge ticket
5944,Case2984,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2013-04-04 16:06:08+0000', tz='UTC'), Timestamp('2013-04-17 08:37:20+0000', tz='UTC')]",Resolve ticket
5945,Case2984,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 2']","[Timestamp('2013-04-04 16:06:08+0000', tz='UTC'), Timestamp('2013-04-17 08:37:20+0000', tz='UTC'), Timestamp('2013-04-22 08:32:22+0000', tz='UTC')]",Resolve ticket
5946,Case2985,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-06-28 09:52:55+0000', tz='UTC')]",Take in charge ticket
5947,Case2985,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[Timestamp('2012-06-28 09:52:55+0000', tz='UTC'), Timestamp('2012-06-28 10:55:15+0000', tz='UTC')]",Take in charge ticket
5948,Case2985,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 4', 'Value 2']","[Timestamp('2012-06-28 09:52:55+0000', tz='UTC'), Timestamp('2012-06-28 10:55:15+0000', tz='UTC'), Timestamp('2012-07-16 06:58:53+0000', tz='UTC')]",Require upgrade
